full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/23316/oxygen,OxygeN,16/100,0.94,0.58,66.3,83.0,42.0%,0.93,12.6%,75/100,0.12,0.17,14.8%,14.8%,0.17,21.4%,26/100,0.08,0.08,15.9%,48.6%,74.5%,2.51,1/100,0.01,1.3%,0.6%,0.003,0.0,40/100,22/100,86/100
https://www.hltv.org/stats/players/17644/p12,p12,10/100,0.82,0.55,63.5,81.2,39.8%,0.69,12.0%,20/100,0.09,0.12,18.3%,18.3%,0.14,17.8%,23/100,0.07,0.11,18.2%,37.5%,77.8%,2.71,0/100,0.00,0.3%,0.2%,0.0,0.0,49/100,30/100,73/100
https://www.hltv.org/stats/players/24112/p1ke,p1ke,54/100,1.04,0.67,80.2,104.1,46.2%,,14.0%,51/100,0.10,0.14,26.3%,26.3%,0.24,21.0%,16/100,0.07,0.10,17.2%,40.6%,61.5%,3.06,0/100,0.01,1.6%,1.1%,0.0,0.005,50/100,10/100,50/100
https://www.hltv.org/stats/players/22143/p3kko,p3kko,27/100,0.87,0.61,69.7,97.5,43.2%,0.85,13.2%,45/100,0.10,0.14,30.0%,30.0%,0.11,12.9%,43/100,0.09,0.13,22.3%,41.8%,62.0%,2.53,0/100,0.00,0.8%,0.4%,0.001,0.001,28/100,59/100,72/100
https://www.hltv.org/stats/players/20750/p3r3iira,P3R3IIRA,34/100,0.99,0.63,70.2,93.5,44.2%,0.92,14.2%,63/100,0.12,0.14,25.1%,25.1%,0.18,20.4%,28/100,0.08,0.10,18.1%,45.2%,68.8%,2.84,0/100,0.00,0.5%,0.3%,0.0003,0.0003,67/100,47/100,53/100
https://www.hltv.org/stats/players/12010/p4trick,P4TriCK,53/100,1.00,0.65,74.4,100.0,44.2%,1.12,16.0%,51/100,0.10,0.14,27.9%,27.9%,0.14,17.2%,42/100,0.09,0.10,19.7%,47.1%,71.4%,2.73,1/100,0.01,1.8%,0.9%,0.003,0.002,38/100,39/100,33/100
https://www.hltv.org/stats/players/23785/pac,pac,8/100,0.48,0.40,56.0,104.5,20.0%,,13.3%,1/100,0.07,0.00,0.0%,0.0%,0.20,13.3%,77/100,0.13,0.13,26.7%,50.0%,50.0%,3.33,0/100,0.00,0.0%,-,0.0,0.0,0/100,12/100,42/100
https://www.hltv.org/stats/players/23007/pain,pain,70/100,1.10,0.71,75.3,100.6,48.1%,1.10,17.6%,39/100,0.11,0.13,23.1%,23.1%,0.16,17.3%,78/100,0.13,0.08,21.1%,62.1%,73.5%,2.16,91/100,0.31,43.6%,22.8%,0.08,0.09,52/100,48/100,27/100
https://www.hltv.org/stats/players/21339/palash,Palash,15/100,0.75,0.58,58.0,78.5,40.8%,1.27,13.6%,8/100,0.06,0.12,0.0%,0.0%,0.06,13.6%,22/100,0.07,0.08,14.6%,46.7%,85.7%,1.31,92/100,0.32,54.1%,25.2%,0.10,0.06,51/100,14/100,11/100
https://www.hltv.org/stats/players/15635/palm1,PALM1,90/100,1.15,0.76,82.9,112.0,49.6%,1.24,19.3%,10/100,0.07,0.11,15.6%,15.6%,0.13,14.2%,88/100,0.14,0.11,25.8%,55.6%,74.5%,2.36,90/100,0.32,41.2%,23.9%,0.08,0.08,25/100,47/100,51/100
